work,separation,partner,marriage,children,gender,generation
19,19,20,21,29,1,6
22,28,,,,1,6
,,,,,0,0
14,17,,18,23,1,3
18,17,35,21,22,0,5
19,37,,20,21,1,2
19,21,,21,21,1,2
17,18,20,,31,0,5
21,20,,22,23,1,2
18,25,25,25,17,1,3
22,32,,33,37,0,4
,,,,,0,0
,,,,,1,0
21,,,,,1,4
,,,,,1,0
18,,,23,,1,3
16,16,,18,28,0,5
19,26,,26,26,0,4
23,25,,23,24,0,5
19,,,23,24,1,3
23,19,19,19,20,1,6
18,,,,19,1,6
23,,,22,23,0,4
,,,,,1,0
,,21,21,23,1,6
23,23,23,23,23,0,6
22,,,,,0,6
16,,19,19,20,0,3
20,27,25,25,27,0,4
16,23,,21,21,1,2
18,20,,,,0,0
23,19,,19,23,1,2
24,34,27,23,,1,4
22,16,,22,23,1,3
18,20,,20,20,1,5
18,18,19,22,20,0,2
16,21,,21,22,1,0
18,18,,26,27,1,5
20,26,,24,28,0,4
20,20,25,,,1,0
14,27,,24,26,0,2
,,,,,0,0
,,,,,0,0
16,16,,23,24,0,1
19,23,,23,24,0,3
16,,,,,1,0
18,20,,24,25,0,2
14,,,24,,0,6
,,,,,0,0
17,20,32,,34,0,2
22,23,23,24,24,1,3
27,23,,25,25,1,6
14,14,,18,18,1,2
23,,19,21,22,1,1
17,,24,26,,1,6
23,25,,27,27,0,2
20,16,16,16,17,0,5
,,,31,32,1,1
16,28,25,25,,1,2
16,29,,29,30,0,3
,,,30,33,1,2
21,19,18,18,19,1,5
19,24,,24,25,1,1
18,30,,26,27,1,2
21,,,25,32,1,2
19,,,19,19,0,5
16,28,,28,28,1,1
,16,20,20,22,1,3
20,20,24,25,26,1,4
20,,,,,0,0
29,,,38,38,0,1
15,28,45,49,27,0,4
18,18,,23,26,1,2
21,30,,26,27,0,5
16,16,,25,27,0,2
17,,,,,1,5
22,18,,,,1,1
18,24,,23,23,1,3
21,21,,,,0,6
,27,,27,27,1,1
16,,,25,28,1,3
23,,,,,0,0
18,24,,24,25,1,2
19,,,24,24,1,6
23,23,,19,20,1,6
18,33,,27,30,0,4
20,22,,22,23,1,0
,,,,,1,0
21,17,,29,30,1,4
,,,,,0,0
18,,,21,,1,2
18,,,,,1,0
19,,32,20,22,1,6
22,,,19,21,1,5
25,18,29,,,0,5
18,22,22,,,1,6
19,18,,25,,0,5
24,19,,20,21,0,4
,,,,,0,0
,20,,20,,1,6
20,18,,20,21,0,4
23,17,,25,28,1,2
20,,,22,,1,3
20,19,,21,,0,5
,27,,31,32,1,2
21,,,,,1,0
22,34,23,23,24,1,6
20,20,,22,,0,5
22,19,,22,26,1,3
21,,32,35,33,0,5
,,,20,21,1,6
24,24,,,,0,5
22,,,22,,0,1
20,24,,24,,0,0
24,25,18,18,,1,6
13,22,,22,28,1,2
19,19,,21,22,0,6
16,20,,22,23,0,4
19,20,20,24,25,0,5
17,,,29,19,1,5
20,,,22,23,1,6
19,19,,,22,1,2
17,,,21,22,1,6
21,21,38,,,0,5
19,19,23,,,0,6
,,,28,29,0,5
,32,,,,1,6
24,24,,,,1,1
22,,,,,0,5
20,,,17,18,1,5
17,,,20,,1,2
,,,,,0,0
,,,,,1,6
20,20,,18,19,0,5
,,,,,0,0
27,27,,28,29,0,5
,,,,,1,0
20,20,,23,24,0,4
20,20,,22,24,0,2
,17,,17,21,1,6
20,20,,21,22,0,5
24,25,,25,26,1,3
22,,,22,23,1,2
23,23,,19,19,1,5
18,,,22,23,1,3
23,,,,,1,4
18,30,,23,23,1,5
22,23,,23,24,0,4
,,,,,1,0
,,,,,0,0
,16,,26,27,0,2
18,17,,24,26,0,3
14,14,,21,,1,2
21,30,,30,32,1,4
21,24,,24,25,0,5
18,36,19,20,21,1,4
17,17,22,27,,1,4
,18,19,,,0,0
19,19,19,21,21,1,0
18,18,19,21,21,1,5
32,32,35,36,,0,4
18,20,,20,21,1,4
18,17,19,,,0,6
19,20,20,,23,1,6
16,19,,19,,1,3
,,,,,1,0
31,33,52,,24,1,3
,,,23,24,1,5
17,26,,26,27,0,1
21,21,33,31,36,1,1
21,25,,33,19,1,4
,,25,25,27,1,2
,,,,,0,0
18,34,28,30,33,0,6
20,17,18,,,1,6
16,18,,21,25,1,5
18,,,,,1,0
19,19,,27,30,1,2
21,,,21,23,1,5
,,,17,17,1,6
20,22,,22,17,0,6
20,21,21,23,25,1,5
23,25,,23,32,1,2
19,24,24,24,26,1,5
17,16,20,,30,1,5
17,24,,25,26,0,6
17,15,15,,,1,0
20,19,,26,27,0,4
22,23,23,25,26,0,6
14,14,,17,17,1,2
26,,,34,30,0,6
19,,23,23,24,0,0
,,,25,27,1,2
,,,46,48,1,2
,,,21,22,1,0
17,,,,23,0,6
,,,22,30,0,4
16,,22,23,24,0,6
24,28,28,30,32,0,6
17,20,,19,20,1,5
15,20,,20,22,1,6
13,14,,33,37,0,2
17,23,,23,,1,4
14,21,,21,22,1,2
16,,16,19,19,1,6
17,17,17,,18,1,0
20,19,,22,23,1,2
19,18,18,18,21,1,5
51,17,,26,28,0,1
17,21,,24,25,0,6
16,18,18,,27,1,6
19,,,,,1,0
19,19,19,22,22,1,6
17,17,,22,23,1,4
20,16,36,16,17,1,5
16,19,,21,22,1,3
25,18,,,,0,6
20,18,30,,,1,5
21,21,22,23,,0,6
18,23,,19,21,1,4
19,,,,25,1,2
19,17,19,19,20,0,6
16,,,18,18,1,0
20,,,,,1,0
,,,19,20,1,2
,,,21,22,1,1
,22,,23,27,1,3
23,18,,26,28,1,4
20,,,,,1,6
21,21,,18,19,1,6
,18,,24,26,1,2
20,,21,26,24,0,5
19,17,19,,,0,0
20,,,,,1,6
17,30,16,16,19,1,6
18,18,20,25,22,1,6
28,23,23,23,25,1,6
18,21,21,22,22,0,5
17,20,,26,28,0,4
22,20,,20,21,1,4
18,18,,,,1,2
15,15,23,23,23,0,6
22,24,,25,26,0,5
,20,,24,25,0,4
20,20,,20,21,1,6
21,,,,,1,0
17,20,20,,22,1,0
17,19,19,19,19,1,3
20,,,24,,0,3
22,17,18,18,19,1,6
19,19,27,26,27,1,4
,17,,18,20,1,5
18,25,,25,25,1,4
22,25,,25,20,0,5
15,20,27,,,0,6
,15,19,20,21,1,5
16,18,,20,23,1,4
20,18,23,24,26,1,5
17,,,,,0,0
15,,15,,18,1,0
16,15,,27,22,0,2
,19,19,,,1,0
12,20,,25,27,0,1
20,31,,21,22,1,6
19,27,,24,26,1,2
17,20,,20,21,1,2
16,18,,24,25,0,3
16,24,,26,29,0,3
21,20,,34,34,0,1
21,24,,,,1,6
24,26,,26,,0,6
29,33,,33,,1,6
20,20,,20,21,1,6
18,22,22,22,22,1,4
,,33,34,,0,6
21,16,,24,28,1,2
18,,,,,0,5
17,,,20,21,1,5
22,,25,29,30,1,4
18,,,,,1,0
,,,,,0,2
,,,18,25,0,5
,,,,,1,4
18,20,20,21,22,0,6
15,,,18,19,1,2
,,,,,0,0
,,,23,24,0,5
,18,,,,1,6
,15,48,24,26,0,4
18,19,19,,,1,0
22,22,,,,1,0
,16,22,,,1,0
18,17,22,,,0,0
,,26,29,30,0,4
20,,,,,1,6
17,,,,,0,0
,,,,,0,0
18,,,18,19,1,3
,,,,,0,0
,,23,23,25,0,4
23,,25,28,30,1,3
16,29,,23,24,1,4
23,16,,23,23,1,3
18,16,,28,29,1,2
,,,,,0,0
17,17,,25,26,0,1
28,28,37,37,37,1,5
26,26,,,,0,5
22,20,22,22,,1,0
18,,,,21,1,0
18,18,,23,26,1,1
18,18,,19,21,1,2
,,,,,1,0
18,20,,20,21,1,6
23,23,,26,27,1,1
18,,,,,0,0
24,44,,32,33,1,2
20,21,,22,22,0,4
22,29,,21,22,1,4
,,,,,1,0
17,,30,,,0,5
20,20,,24,28,1,2
23,23,,21,26,0,5
17,21,,21,22,1,5
18,,,,,0,0
15,,,,,0,0
22,29,,29,30,1,5
14,14,,28,29,0,2
19,22,24,23,25,1,4
,17,,,,1,0
,19,,,,1,0
20,20,,20,23,0,5
17,17,26,27,27,1,3
,37,,23,24,0,4
,20,,21,21,0,6
15,28,,22,26,1,1
17,25,19,19,20,1,5
18,33,,33,36,0,5
22,,,,,0,6
19,18,,31,23,0,5
21,17,,23,24,0,0
20,19,,19,19,1,6
18,15,20,20,21,1,4
19,28,,25,27,0,6
20,20,,18,19,1,4
17,22,,37,38,0,2
17,25,,35,26,1,3
16,23,,24,25,1,2
18,27,,23,24,0,3
15,,,,,0,0
13,18,20,26,20,1,2
21,21,,24,26,0,3
18,18,,19,19,1,3
15,17,21,21,21,0,0
19,19,,25,25,1,3
22,,,,,1,0
21,,,,26,1,4
19,,,,21,1,6
17,20,,20,24,1,3
16,24,,22,22,1,4
20,27,,27,29,1,3
,22,24,42,21,1,3
,25,,25,27,0,3
17,18,18,25,26,0,5
21,,,27,28,0,5
,,,,,1,0
19,21,,21,22,1,2
20,,,,24,1,5
22,,,,,1,0
20,14,,,,0,0
19,18,,20,21,0,0
,,,,,1,0
17,29,29,23,23,0,3
17,24,,23,24,1,2
14,22,,22,23,0,3
19,19,24,24,25,0,6
22,,,,,0,0
,18,,21,21,1,3
23,24,24,24,25,1,3
,16,20,,,1,4
,,,19,20,1,2
,,,,,0,0
20,16,,,26,0,3
16,18,,18,20,0,2
,,24,25,28,1,6
,,,,,0,4
23,18,,22,24,1,3
,,,24,24,1,5
,,,19,21,1,4
,19,,,,1,0
,,21,21,22,1,5
,35,20,23,23,1,6
,,19,20,22,1,5
17,21,,,,1,0
,,,,,0,0
,,,21,22,1,4
17,17,,,,1,0
18,19,17,19,20,0,0
,23,,23,25,0,3
,,,,,0,0
16,17,,,,1,0
13,,,,,1,0
20,,,25,27,0,5
14,17,,22,22,1,5
15,,,20,22,1,5
21,,,,,0,0
16,16,,23,28,1,4
17,18,,22,23,0,5
14,14,,25,26,0,5
15,,,,,1,5
18,,,,,1,4
17,30,,,28,1,3
19,24,,24,25,1,1
16,12,,26,30,1,2
18,18,,22,24,1,4
22,19,22,22,23,0,4
16,15,23,23,,0,3
18,23,,23,22,0,0
15,23,,23,27,1,3
13,23,23,24,25,1,6
29,29,29,29,29,1,5
19,22,,24,26,0,4
20,17,18,19,19,0,6
19,24,,19,16,0,3
,,,,,1,0
18,,,22,23,0,4
20,25,25,28,29,1,5
16,20,23,25,26,0,3
17,,,21,21,1,3
24,19,20,,,0,0
19,17,,21,22,1,4
18,21,22,22,23,1,2
,26,,19,19,1,6
,,,,,0,0
16,,19,21,23,0,3
19,17,17,19,24,1,3
18,,,22,24,0,6
18,,,,,1,0
,22,,20,22,0,2
18,22,,22,23,0,4
23,16,32,32,33,0,3
,,,,,0,0
,18,,28,30,1,4
16,19,19,,20,1,0
23,,,,,1,0
17,15,,35,,1,4
17,,18,19,19,0,6
17,17,17,17,17,1,6
18,,,,,0,0
18,15,,21,22,0,4
17,19,30,24,26,0,4
21,,,24,25,1,4
16,16,19,20,20,1,5
18,16,,22,24,1,3
22,,24,25,25,1,0
17,26,20,20,21,0,3
18,17,27,27,,1,3
18,23,22,24,24,0,5
,12,,,25,1,2
15,,,28,30,0,3
23,18,25,24,25,1,2
,,,,,0,6
15,,17,,,0,5
22,25,25,27,28,1,6
,,,22,27,1,4
,,,,,1,0
16,20,,19,22,1,3
,,,,,0,0
15,,23,22,,0,3
14,,16,18,24,1,2
21,21,22,22,,0,0
21,17,,,25,1,6
17,21,26,26,28,1,5
,21,21,24,24,1,6
20,,20,18,,1,5
20,13,20,25,,0,3
19,21,21,22,22,1,5
22,21,21,21,,1,6
16,18,,23,24,0,1
19,19,,21,23,1,2
,28,,27,29,1,4
20,17,23,23,25,1,3
21,,,,,1,6
17,17,,20,22,0,5
20,20,,20,21,1,5
19,,,,,1,0
19,18,18,22,22,1,6
21,17,,,,0,0
19,18,,,,1,0
22,,,23,26,0,4
21,21,,28,29,1,1
,,,,,1,0
22,17,,25,27,0,4
17,18,,24,24,0,4
18,19,,19,20,1,5
21,24,,19,20,1,0
,16,16,17,18,1,0
23,19,,24,24,0,5
20,19,,22,23,1,6
17,,,,,0,0
17,17,,21,22,1,4
18,27,,25,31,0,3
19,20,,,,0,0
11,18,,21,,1,2
19,17,,21,23,1,6
15,18,18,19,19,1,0
18,25,,24,25,0,5
18,18,,21,22,1,6
20,17,,,,1,0
19,15,,21,22,1,5
18,25,55,25,28,1,2
21,18,,18,,1,6
19,21,,20,22,1,1
21,21,21,21,21,1,5
,,,,,1,0
22,19,22,,,0,0
,,,,,1,0
20,18,21,,23,0,6
,,,,26,0,4
24,20,,19,19,1,6
19,25,22,,23,1,6
17,21,23,23,19,1,5
,20,,22,25,1,1
,19,32,32,,1,5
20,20,,29,30,1,1
18,26,,26,27,0,6
22,22,22,27,28,0,4
18,20,,20,21,0,3
22,22,,23,23,1,2
17,17,,19,20,1,4
16,20,,21,22,1,3
22,18,22,22,,0,3
16,16,21,,21,0,0
17,23,,23,25,1,3
16,18,,24,26,1,2
,23,,23,26,1,1
40,30,,30,31,0,4
17,15,,23,24,0,4
16,20,24,24,,0,6
19,19,20,20,21,1,4
26,20,20,20,20,1,2
,27,40,,,0,1
23,20,29,,23,0,6
,18,21,20,20,1,5
25,25,,24,27,1,3
21,15,,21,22,0,6
,20,20,20,20,1,6
,,,32,34,0,4
,16,,21,22,1,5
18,17,,23,24,0,4
,,,20,21,0,3
18,24,,23,32,0,5
15,19,,,,0,6
22,19,30,23,17,1,6
,17,,,,0,0
,18,,18,19,1,3
21,23,23,,,0,0
19,,,,,0,0
,18,,,,1,0
,,,,,1,0
,20,,,,0,0
20,39,,23,24,1,4
19,19,,,21,0,6
22,,,,,0,0
17,16,16,17,16,1,6
21,26,26,,23,1,0
20,21,,21,22,1,3
19,19,19,,,0,6
13,,,,,1,0
19,21,23,25,27,0,6
21,19,,23,23,0,5
17,17,25,,25,1,6
17,17,,17,28,1,2
17,25,,25,25,1,2
20,21,,21,22,1,5
20,23,,28,29,1,4
20,,,23,26,1,2
19,49,,29,30,1,2
16,17,,22,24,0,4
14,16,,27,28,0,1
20,17,18,18,18,1,0
20,,,22,23,1,3
20,20,24,20,25,1,6
17,23,,,,1,4
18,20,,26,,0,2
,,,,,1,0
37,,,40,42,1,1
,,,,,0,0
,,,,,0,0
,,,,,0,0
,,,,,0,0
21,21,21,32,26,0,5
,,,26,29,1,3
21,29,30,28,29,1,2
14,,,36,37,1,1
,23,,24,25,1,3
23,18,,25,26,1,3
11,18,,18,19,1,2
20,,,,,0,0
,,,21,23,1,4
,21,,21,24,1,1
,,,,19,1,0
22,16,,22,24,0,4
20,25,25,20,21,1,6
18,18,19,19,22,1,5
20,18,,,,1,0
21,21,24,,,0,0
15,15,16,,,0,0
18,17,20,,,1,0
,21,,30,30,1,3
,,,,,0,0
18,18,19,,,1,0
23,,,40,41,0,5
20,23,,23,23,1,5
20,24,24,24,,1,6
21,20,,20,23,1,5
,,,,,1,0
22,22,,,,0,0
17,17,24,,,0,0
18,18,,20,22,1,0
17,22,,22,23,0,5
22,31,,22,23,1,5
18,23,,23,25,1,2
16,16,,23,24,1,3
18,,,23,24,1,3
,16,16,18,20,1,6
14,20,,20,21,1,1
18,17,17,20,20,1,6
20,22,,22,,1,6
18,18,,24,25,1,6
,19,,33,,0,6
23,18,,25,27,1,2
21,22,,22,23,1,5
19,19,,24,29,0,3
17,25,,25,26,1,2
17,,,,,1,4
22,20,,20,21,0,6
12,20,,27,39,0,2
19,19,,28,27,0,3
18,25,,23,25,1,2
20,18,18,18,28,1,5
,,,,,0,0
17,18,,,,1,0
18,,,,,1,0
16,19,,20,,0,0
14,19,,19,20,1,3
14,20,,25,26,0,1
14,27,,27,27,1,3
21,22,,,,1,6
29,20,,20,,1,2
20,16,,23,25,0,5
20,21,,20,22,0,5
19,15,,20,21,1,2
22,27,,27,,1,6
14,18,,18,18,1,2
19,,,,,1,0
17,21,27,,,0,6
19,20,,20,20,1,3
24,21,,23,24,1,3
16,14,23,33,27,0,1
27,29,,32,34,0,1
16,23,,18,19,1,2
17,17,,20,,1,3
20,23,,23,25,1,5
18,19,21,22,24,0,5
24,15,20,20,21,0,4
20,18,,18,18,1,6
22,15,20,20,21,1,5
21,,,,,1,6
19,26,,23,23,1,6
16,23,21,21,21,1,4
15,20,21,21,22,0,3
19,21,,21,23,1,6
19,20,,21,21,1,0
18,,,25,25,0,2
19,23,24,24,26,0,6
21,26,27,,,0,6
17,23,,24,26,0,5
17,17,21,21,23,1,5
24,26,,23,24,0,6
16,19,,19,20,0,4
17,20,,20,21,1,4
24,,,25,26,1,4
17,19,,21,20,0,5
23,28,,28,29,1,6
17,20,,,31,1,1
25,21,,21,23,1,6
,,,23,25,0,2
16,21,23,23,29,0,6
,22,22,23,,1,0
22,19,25,,,1,0
21,17,21,,,1,0
,,,,25,0,2
,18,,,,0,0
16,18,20,20,20,0,6
,18,,,,0,0
21,20,20,19,20,0,6
21,25,,25,27,0,4
,,,21,21,1,2
17,17,,,,0,0
,,,,,1,0
17,,,,,0,0
18,19,24,25,27,0,5
,,,,,0,0
,,22,22,,1,6
,21,45,21,22,0,5
18,17,,,,1,0
24,,,,,0,0
16,,,,,0,0
,,,,,1,0
18,20,20,21,25,0,3
,,,,,1,0
,,,,,0,0
17,19,,20,20,1,2
14,23,,23,25,1,1
18,30,,30,30,1,2
15,24,,24,25,0,3
19,21,,21,22,1,4
20,21,,21,22,0,3
19,21,,22,22,0,6
19,19,,19,20,1,6
18,18,,21,22,1,5
18,18,,21,24,0,6
18,24,29,25,25,1,1
19,20,,20,21,1,2
18,16,42,56,23,1,3
21,,,,,0,0
18,,,20,20,1,2
17,20,,,,1,0
,21,,21,24,0,3
18,19,,19,19,1,2
17,33,,17,24,1,1
18,17,,27,28,1,3
18,26,26,26,27,1,2
,,,20,21,0,4
19,23,23,23,23,0,6
18,18,20,20,20,1,3
17,25,,,,1,3
,18,,25,26,1,1
17,17,,17,18,1,6
,,,,35,1,5
,,,,,1,5
17,,,23,24,0,4
17,23,,23,25,1,1
20,21,,20,21,1,5
24,25,,25,,1,5
17,17,,21,22,0,6
19,29,29,29,30,1,6
14,,,20,21,1,2
,22,,22,22,1,3
,,,19,21,1,3
16,16,19,19,20,0,3
,19,,19,20,1,3
,20,,20,21,0,3
,,,25,26,0,4
,,,30,,0,5
18,20,20,21,,1,0
16,,,33,34,1,2
,,,,,0,0
19,20,,20,24,0,6
,22,,22,23,1,4
23,25,26,,,1,6
,18,18,,20,1,0
19,18,18,,,0,0
14,,25,25,,1,1
16,,,27,,1,1
16,15,,22,23,1,4
16,18,,23,24,1,1
,31,,36,37,0,1
,,,23,25,1,3
19,19,24,,,1,2
14,,,19,20,0,3
21,21,24,24,26,0,3
,19,,,25,1,2
,,,,,0,0
16,,,21,21,1,5
22,25,25,,,0,6
18,20,,18,18,1,5
15,17,,20,20,1,3
18,20,,20,21,1,3
19,,,,21,1,0
18,,,20,20,1,3
15,,,18,23,1,5
17,22,,23,24,1,3
