work,separation,partner,marriage,children,gender,generation
12,22,,22,23,1,1
20,21,,21,22,0,4
,,,,,0,0
33,22,,23,23,0,2
23,23,,,,1,0
21,21,,21,22,1,4
16,32,,32,33,1,2
16,27,,27,28,0,3
17,,,,,0,5
18,,,,,1,0
19,,18,18,20,1,4
,15,,23,24,0,5
19,18,,20,21,1,5
,,,,,1,0
,,,,26,1,2
20,,,20,21,1,2
20,20,,22,25,0,6
14,14,14,,,1,0
,,,,23,1,5
19,,,19,33,0,4
18,18,,21,23,0,5
21,21,,20,20,1,4
22,22,22,22,20,0,5
,,21,36,37,0,5
25,25,,25,26,1,6
,,,25,26,0,6
,,,22,23,1,2
,,,24,25,1,6
16,17,,20,21,1,2
18,27,,25,16,0,2
19,24,,24,25,1,2
15,50,,43,,0,1
,,,,,0,0
19,19,,24,26,1,2
19,15,,22,22,1,4
16,22,,23,23,1,3
23,23,,25,26,1,4
22,17,22,21,22,0,4
17,23,,23,24,0,4
14,23,,23,24,0,3
18,18,18,18,18,1,5
32,29,,33,34,1,2
19,19,,24,24,0,3
17,18,18,23,23,1,6
17,30,,26,27,1,2
19,,37,,,1,1
17,23,,23,25,1,1
17,17,,20,23,1,2
17,20,20,20,18,1,4
17,,22,22,23,0,5
16,27,,24,25,1,3
15,22,,22,22,1,3
,,,,,1,0
21,17,,17,24,1,5
12,21,,21,22,0,1
17,16,22,22,23,0,4
21,21,,21,25,1,3
15,16,17,17,20,1,4
19,17,,20,21,1,6
18,18,18,18,18,1,5
13,,,24,25,1,1
,,,,,0,0
,,,17,18,1,6
18,28,,20,20,0,5
24,,,25,31,0,1
,,,,,0,3
,,,,27,1,5
,,,,,0,6
,,,,,0,6
17,18,,26,27,1,4
14,25,,22,23,1,2
16,12,,27,27,1,4
19,19,,23,24,0,4
25,19,,22,27,1,6
17,17,,21,22,0,4
18,18,,24,25,1,3
,20,,20,21,1,4
,,,,,0,0
19,23,,23,24,1,5
17,14,,28,29,0,5
21,51,,18,20,1,3
,,,30,32,1,2
20,21,,21,22,1,3
,23,20,20,21,0,4
17,17,21,21,22,1,6
15,,18,18,21,0,6
18,19,19,,,1,0
20,20,,,,1,1
23,19,,23,23,0,6
,20,,20,21,1,2
,22,22,,24,1,0
15,20,23,23,23,0,5
,14,,23,24,0,2
16,,,23,24,0,4
19,,,,,1,6
19,21,,21,19,0,6
17,15,,21,22,1,4
17,21,22,22,23,0,5
24,25,26,27,28,0,5
,,,22,24,0,3
,19,,19,24,1,6
,22,22,19,20,1,5
,21,,22,23,1,3
20,20,,20,28,1,4
18,21,,21,22,1,3
,17,19,22,23,1,5
17,21,,25,25,0,2
19,23,,23,23,1,4
19,19,,22,22,0,6
20,20,19,21,21,0,5
17,23,,26,27,0,3
22,22,,22,30,1,5
20,20,,,,1,0
21,17,17,,17,1,0
18,18,,20,20,0,2
17,20,23,26,24,1,5
18,18,21,22,22,1,3
,,,,,1,0
21,23,23,23,23,0,5
22,16,,29,29,0,5
17,17,,17,17,1,3
18,18,,20,22,0,3
,,,,,1,0
18,18,,20,,1,3
17,17,,23,23,0,3
17,18,,18,21,1,3
19,17,17,19,19,0,4
19,18,,18,20,1,6
22,,,17,19,1,6
17,16,16,18,25,1,5
23,24,33,24,25,0,5
22,20,,23,27,0,5
23,17,22,23,,0,0
16,17,,17,19,1,3
,13,,17,17,1,5
25,25,25,25,26,1,5
22,26,23,,23,1,6
22,24,24,,24,1,6
18,18,24,,26,0,6
19,,,,,1,0
19,19,,20,22,1,6
22,22,,23,31,1,5
18,21,,21,21,1,0
23,23,,23,24,1,2
17,18,,26,,0,6
20,27,27,27,28,1,6
17,18,19,21,20,1,6
,15,,24,25,0,3
16,19,28,30,37,0,4
19,,,,,1,0
19,,,,,0,5
,,,,,1,0
,12,,,,1,0
16,16,,30,31,0,3
14,16,,22,25,0,1
17,22,,22,23,0,4
17,17,,22,24,0,4
18,19,,20,21,1,4
22,18,,26,27,0,1
22,17,,24,25,0,4
19,17,,,,0,0
17,30,,,,1,4
18,18,,22,23,1,4
19,31,,19,24,1,5
26,30,30,28,28,1,2
20,20,,20,22,1,5
22,22,,22,23,0,4
18,19,,23,24,0,5
19,20,,20,20,1,0
20,,,,,1,0
20,21,,21,23,1,5
17,,,,,0,0
18,,,,,0,0
25,24,,24,,1,6
,17,,,,0,0
,21,,24,28,0,4
17,17,21,21,22,0,5
18,,,26,18,0,6
17,,,19,20,0,5
24,,,24,26,1,5
,,,,,1,0
17,23,,24,25,1,5
,,,,17,1,2
22,,,22,23,1,1
17,17,,17,25,0,1
25,47,,,,1,1
18,27,,27,29,1,1
19,33,,,23,1,6
18,,,,35,0,4
21,,,21,19,1,6
20,,,,,0,0
,18,20,21,21,1,6
,,,17,,1,3
,,,20,21,0,3
17,15,,30,31,0,1
22,17,,,,0,0
,18,,18,19,1,3
18,25,,23,24,0,4
18,31,,23,24,0,4
,,,,,1,6
18,24,,24,25,1,2
22,,,23,24,1,4
17,23,,23,25,1,4
20,20,,21,21,1,5
18,25,,25,31,0,4
,,,27,28,1,1
,,,24,24,0,2
17,26,,,,0,6
20,,,,,1,6
30,,,41,42,0,1
18,30,,,28,1,4
,,,29,30,1,6
21,22,,24,25,1,4
23,17,23,29,25,1,6
27,24,,24,24,1,5
22,17,,24,25,0,4
24,25,24,25,25,1,0
26,28,,28,30,1,6
20,25,,23,24,1,5
,16,,18,19,1,5
18,,,,,0,0
14,19,,,,1,3
,21,21,22,,0,0
20,24,,24,25,1,2
19,,,,,0,0
17,19,,19,20,1,4
,,,,,0,0
17,15,19,19,21,1,6
19,21,,21,22,1,3
19,21,21,21,22,1,4
21,22,,21,22,0,5
20,20,,25,26,1,3
18,25,,25,26,1,2
20,20,,18,19,1,5
17,15,,20,22,1,3
18,19,19,19,20,1,4
18,19,,19,20,1,6
15,19,,19,20,1,3
18,,19,,18,1,0
16,16,,23,24,0,3
23,28,,26,27,0,2
15,21,,18,19,0,4
17,17,,21,22,1,3
18,17,,,23,0,1
17,19,19,19,21,1,2
22,21,,21,,0,0
16,21,,25,26,0,2
23,17,,,,1,0
16,,19,19,21,1,2
,21,,21,24,1,6
19,17,,23,26,0,2
19,,,,22,1,5
20,24,24,21,16,1,6
19,30,30,22,25,1,6
22,24,,,23,1,5
25,27,24,24,25,0,6
21,21,23,24,,0,0
21,17,,,30,1,5
26,26,28,28,,0,6
20,20,,,38,1,5
24,24,,24,26,1,5
20,22,,22,22,1,5
20,30,,25,25,0,4
22,20,,,,0,0
16,18,,18,19,1,5
23,27,,,,1,6
,,,21,,1,2
24,18,,22,24,1,4
20,,,34,,0,1
18,19,19,19,21,1,2
16,,27,,,1,1
19,19,,,24,0,6
21,16,,22,23,0,5
20,28,,21,22,0,4
17,18,,18,19,1,4
22,24,,24,25,1,4
20,25,,25,26,0,4
,,,20,21,1,3
20,24,,24,31,1,2
21,24,,24,25,0,3
21,,,,,0,0
19,21,21,23,26,0,0
20,19,,33,33,0,4
,,,,,0,0
19,25,,23,25,1,4
,22,,,,1,0
,20,,20,20,1,0
22,17,,25,,0,6
22,,,,,0,0
17,,,,,0,4
21,21,,19,22,1,2
,,,,,0,0
,,,,,1,0
17,,,,,0,6
,,,,,1,0
,18,,,,1,0
22,24,,24,25,1,2
22,30,,30,,0,6
21,27,,,,0,6
,22,,22,22,1,6
12,19,,31,32,0,2
15,,,25,25,0,2
23,48,,,,0,4
17,17,,27,28,0,2
20,26,,26,27,1,3
17,,,24,25,1,2
23,23,,23,25,0,3
20,25,,25,26,1,6
21,,,20,21,1,6
20,22,,22,24,0,3
,,,,,1,0
17,21,23,23,24,0,1
17,17,,21,22,0,5
21,18,22,23,42,0,4
18,22,19,,20,1,0
22,18,,18,19,1,0
18,17,18,18,19,1,3
22,22,,23,24,0,0
24,20,,,21,1,5
18,18,,22,23,1,6
20,20,,20,21,1,3
30,16,,22,23,0,5
20,17,21,21,22,1,3
16,,22,22,24,0,3
18,,,,,1,0
,,21,21,22,1,3
,,,,34,1,5
18,18,18,18,18,1,6
23,,,23,23,0,6
22,,,,,1,0
22,17,,33,33,1,4
,17,,22,23,1,5
21,18,,24,,1,0
16,18,,23,26,0,1
14,16,,21,22,1,1
17,16,23,23,24,0,4
14,17,,20,22,1,1
22,17,,25,,0,6
21,17,,,,1,0
23,13,,23,25,1,2
20,17,,23,30,1,5
19,20,,26,26,0,5
17,21,,31,32,0,5
21,18,,29,30,0,5
16,19,18,18,21,1,6
,,,22,22,0,3
20,18,21,23,24,0,5
19,,,,,0,6
17,20,,21,21,0,0
20,21,,21,22,0,3
22,,,22,22,1,5
19,19,23,24,25,0,2
17,15,20,25,,0,6
30,26,,,,0,5
16,14,18,16,18,1,4
22,22,,22,24,0,4
,,,,,0,0
,,,17,18,1,2
17,23,,24,33,1,2
20,,,24,29,1,6
19,,,,18,1,3
20,27,,27,31,1,2
15,,19,42,19,1,4
20,21,,21,27,0,5
,23,,23,25,1,0
17,16,17,17,22,1,2
18,19,,20,22,0,4
19,,,26,23,1,3
20,18,,20,22,1,4
,,,,,0,0
,20,,20,33,1,3
,,,20,23,1,4
18,17,27,18,19,1,4
21,19,,24,24,0,2
17,18,,22,23,1,5
,20,,,23,1,0
19,17,,21,,0,5
24,16,,25,27,1,3
13,17,,17,18,1,2
18,,25,25,26,0,5
19,,,,,1,0
17,34,,22,23,0,6
11,18,,25,,0,2
18,20,,22,24,1,2
20,21,,24,26,1,2
20,26,,26,27,1,2
19,27,,27,28,1,2
19,,,,,0,0
20,22,,,24,0,3
25,26,,26,27,0,5
18,,,23,25,0,2
22,,,23,24,1,3
18,19,,30,36,1,5
31,16,,21,22,1,5
19,,,37,31,1,2
21,23,,21,30,1,6
18,21,,21,23,0,2
31,29,,30,33,1,5
20,22,,22,24,1,5
22,,,31,34,0,2
21,,33,,,1,5
20,,,22,23,1,6
20,20,,20,21,0,5
,20,,20,21,1,6
,18,,18,19,1,0
18,19,,19,20,1,5
19,31,,31,34,1,4
20,23,,22,24,0,6
21,22,,22,31,1,4
19,30,,21,23,1,3
19,24,24,26,26,1,3
22,,,,,1,0
17,20,,23,25,1,3
17,,,,,1,6
20,23,,23,23,1,5
23,23,,23,24,1,2
19,23,,24,25,0,2
19,,21,22,22,0,5
21,20,,19,21,1,0
20,20,,21,22,1,4
15,27,21,,,1,3
18,,,25,25,0,5
18,19,,19,20,1,6
15,,,22,23,1,2
16,,23,23,23,1,2
24,16,,19,17,0,6
,,,31,32,1,1
10,,,23,23,1,2
14,,,27,29,1,1
20,20,,20,21,1,2
,,,16,17,1,6
16,21,,23,23,1,4
20,25,,25,26,0,5
,,,19,19,1,4
14,21,,23,24,0,3
17,18,18,19,17,1,6
21,,,,,0,0
16,19,24,33,25,1,6
15,20,,21,22,1,2
27,18,,23,25,0,5
12,18,18,,19,1,2
19,17,26,,,1,3
20,18,,,,0,0
23,,,27,27,0,6
18,20,,20,33,1,4
16,26,,26,41,0,2
17,34,40,,21,1,3
21,,,,,0,0
17,18,18,18,19,1,3
18,22,,29,31,0,2
17,18,,18,19,1,3
21,22,,,,0,5
20,20,,,,0,0
18,,21,21,23,0,4
20,,,22,,1,4
,,,,,0,2
20,21,,21,26,1,4
20,,,,,0,0
21,22,,,,0,6
,,,18,18,1,2
18,,20,21,22,0,4
,,,20,21,0,4
,,,,,0,6
25,28,27,27,28,0,6
,17,,21,25,1,4
25,26,23,23,26,0,6
,,,21,25,1,2
17,20,,20,21,1,4
22,19,,24,25,1,4
23,,,,,1,0
23,23,30,30,32,0,2
,,,,,1,0
16,,,24,25,0,3
21,21,,21,22,1,5
17,15,,,,0,0
,20,,20,21,1,5
21,18,,21,,1,4
22,,,32,34,0,3
18,30,,23,25,0,4
17,18,,25,26,0,3
,17,,,,1,0
16,19,,25,26,1,3
16,,,18,,1,3
19,17,,24,25,0,2
20,28,,32,37,1,5
21,17,23,24,27,0,5
18,14,,26,29,1,3
21,21,19,19,20,1,5
20,27,,23,22,1,6
20,50,26,26,27,1,3
,,,,24,0,5
17,17,,21,31,1,5
,19,,19,20,1,5
,,,,,1,0
22,17,,22,23,1,5
22,,,22,24,0,2
,22,,20,21,1,3
20,20,20,21,,1,0
25,27,,27,29,0,2
17,17,,22,23,1,3
18,20,,22,26,1,5
17,17,20,21,22,1,2
24,26,19,19,19,1,5
,,,,,1,0
,21,,22,26,1,5
20,20,,23,24,0,4
19,20,,27,24,1,4
20,20,,20,23,1,3
,,,,31,1,1
15,19,,26,36,0,3
20,,22,22,25,0,5
20,18,38,21,22,1,4
21,26,18,39,18,1,3
15,18,29,,29,0,5
13,23,,23,24,1,2
,17,,,,1,0
,,,,,1,0
,17,,,,1,0
,15,,,,1,0
,16,17,,,1,0
,,,31,31,0,4
20,24,,24,26,1,4
,21,,21,22,1,3
,22,22,22,23,0,3
,22,,22,24,0,6
,24,24,25,25,1,3
,22,,22,,0,0
20,20,,22,24,0,5
18,,,20,24,1,2
20,,24,24,26,0,3
21,23,,22,23,1,6
,20,,22,,0,5
22,20,,23,26,1,3
,28,,20,22,1,2
,25,,23,24,0,3
,24,,24,25,0,6
19,22,,,,0,3
,22,25,27,27,0,6
16,23,,23,23,1,1
21,17,,24,26,1,4
22,25,,25,27,1,1
21,36,,24,25,0,5
21,,,,,1,6
17,18,,18,19,1,6
19,,,,,1,6
17,25,20,20,29,1,4
20,20,21,24,27,1,5
17,25,,22,24,0,3
14,,,19,21,1,6
,,38,39,39,0,4
20,24,24,,25,0,5
17,17,,21,23,1,4
15,15,,25,26,1,2
21,28,,25,25,0,4
16,18,,25,27,0,6
22,17,,,,0,6
15,21,,22,,1,2
15,32,,24,26,0,3
17,17,,18,19,1,3
18,22,,23,24,0,4
,17,,,,0,0
,16,,,,1,0
17,18,,20,21,1,6
22,20,,20,20,1,4
21,19,,19,19,1,4
24,17,,21,22,1,6
16,25,,25,26,1,1
16,18,,18,20,0,2
20,17,,22,22,1,3
23,,,20,20,1,6
21,20,23,24,,0,0
16,29,29,29,,0,4
17,17,,27,36,0,3
17,25,25,27,26,1,4
17,18,,18,19,1,3
23,18,,24,26,0,1
,15,22,23,23,1,1
,19,18,19,,1,0
21,19,,19,21,0,5
26,21,,21,22,1,4
,18,,,,0,0
20,19,,21,22,1,6
21,17,,20,22,1,4
,17,,,,1,3
,,,,,0,0
23,16,27,,,0,5
19,16,,24,25,0,3
14,,31,32,,1,1
17,,,19,20,0,2
,,,,,1,0
17,17,,20,21,0,5
,,,,,1,2
20,16,,16,16,1,0
16,19,,23,24,0,2
22,22,25,,26,1,2
21,18,,25,26,0,3
24,24,,26,27,1,2
17,18,23,19,18,0,5
17,,,,,1,1
17,15,17,17,18,1,5
18,18,,25,26,0,1
19,,,20,21,1,6
,,,,19,1,0
22,17,,,,1,6
23,23,,23,24,1,4
25,,,25,26,0,2
19,20,,,,1,0
23,,,18,20,1,0
,,,,,1,0
,,,20,21,1,4
22,17,,24,25,1,4
23,20,,31,32,0,3
,,,,,1,0
19,,,,,1,0
19,19,19,20,21,1,0
16,,,,,0,0
,32,,27,28,0,5
17,,,,,1,0
19,24,22,23,24,0,6
,19,19,20,20,1,5
,,,,,1,0
,16,,17,18,1,3
16,16,21,,,0,0
,,,17,,1,2
17,17,,23,25,0,4
22,18,,19,20,1,6
18,18,19,21,21,0,5
12,,24,24,26,0,2
18,17,,26,28,0,3
18,17,,,,1,0
16,18,,,,0,5
,,,25,26,0,2
23,18,,,,1,0
19,,,23,24,0,5
,,,19,20,1,2
20,16,,25,27,0,6
18,,,17,19,1,2
,,,,,1,0
,17,,21,23,0,6
16,16,,25,26,0,2
,,28,28,28,0,6
22,17,26,26,27,0,5
,,,,,0,0
20,20,,27,29,0,4
18,,,19,20,1,6
19,,,18,20,1,4
16,16,,23,24,0,3
,17,,17,21,1,6
16,19,,19,20,1,2
22,19,,31,32,0,4
19,,,,,0,0
18,19,,23,24,0,3
24,21,,21,24,1,2
18,22,,22,23,1,3
19,,,,,0,0
25,18,22,,25,0,5
,,,17,19,1,4
,24,,24,26,1,2
17,,,19,,0,0
24,21,,27,24,0,3
,25,,25,26,1,5
21,24,24,24,20,1,4
22,22,,25,,0,6
19,17,,23,24,1,3
18,18,,23,23,0,3
,19,,23,26,1,2
21,21,,22,23,0,5
,22,,26,31,1,5
41,31,,23,24,1,4
42,,21,21,22,1,5
31,29,,30,37,0,3
,24,,24,24,1,5
,,,19,20,1,2
17,,,,,1,0
24,25,25,,,0,0
19,18,,,,0,0
,,,,,0,0
,24,40,24,35,1,4
19,,,,,0,6
16,26,,28,29,0,2
18,,,,,0,4
24,25,,25,26,1,3
18,18,,18,19,1,2
19,14,20,20,39,1,5
,17,,17,17,1,0
,,,,,0,0
15,16,,16,16,1,2
18,,,20,22,0,4
23,23,,23,24,1,1
,17,16,17,17,0,6
21,21,21,22,,1,4
21,26,,23,23,0,6
16,26,26,29,30,0,5
19,30,,24,26,0,2
,17,18,20,19,0,6
37,44,,41,42,1,3
13,18,,19,20,1,1
,20,,,,1,3
16,40,,20,21,0,4
18,20,20,20,20,1,6
16,20,,22,,1,3
18,24,,24,25,1,3
15,17,,18,19,1,3
16,16,,21,22,1,5
16,19,,19,20,1,3
18,21,,21,22,0,2
14,19,,19,21,1,2
15,18,,18,,1,2
17,,,,,0,0
21,22,,22,23,1,3
16,21,23,23,24,0,2
17,,,20,,1,3
29,,,,22,1,4
,,20,20,20,1,6
,,,19,20,0,6
21,20,,20,21,1,3
,23,,,27,1,5
23,,27,,,0,6
21,43,,43,27,1,4
,,,33,33,0,2
20,,,31,31,0,5
25,20,,20,21,1,6
,,,31,32,1,6
,,,27,26,0,4
18,,,,,0,5
,,,23,,1,0
18,18,,28,28,0,3
21,,,,,0,0
,25,,20,21,1,0
40,38,,38,,1,5
,,,,,0,5
,18,,20,20,1,4
,,,18,20,0,5
,18,,20,20,1,4
25,,,31,,1,2
14,,,,,1,0
16,,,,,0,0
,,,,,1,0
14,,,,,1,0
24,23,,,,0,0
16,19,,,,0,0
,,,19,19,1,5
22,22,22,23,23,1,3
,,,23,24,1,6
,,,39,22,1,4
18,18,,19,20,1,3
28,28,,28,28,0,4
20,22,,21,22,1,6
20,,26,24,28,0,5
19,,,19,20,0,6
,20,,22,23,0,5
,26,,23,23,1,4
20,,,23,35,1,4
,34,22,33,35,0,5
,17,,26,28,0,5
,23,,23,20,1,4
19,19,,19,22,1,4
16,16,,26,30,1,2
20,,,,,1,6
18,18,,20,22,0,5
19,,,19,20,1,3
,,,19,20,1,0
19,,21,,,0,6
19,23,29,,,1,6
19,19,,23,25,0,2
,24,,24,27,0,6
18,20,,,,1,0
19,18,18,19,20,1,4
22,23,,23,23,1,6
22,19,,19,21,1,6
10,21,,25,25,0,2
14,15,15,24,24,0,6
14,16,22,26,26,1,3
17,,,27,29,1,2
23,,23,25,20,1,6
,15,26,26,27,0,1
16,19,,19,22,1,2
16,23,20,23,23,1,4
18,18,,21,23,0,4
20,23,,21,22,1,4
20,21,,21,22,1,0
18,21,,23,24,0,6
18,19,,19,21,1,4
