work,separation,partner,marriage,children,gender,generation
18,,52,52,31,1,2
20,22,,22,24,0,5
14,20,,20,21,1,6
19,23,23,20,21,1,6
21,20,,24,25,0,0
,17,22,22,23,1,2
,,26,26,26,1,6
,23,,23,24,0,4
15,30,21,21,22,1,2
12,18,,22,22,1,2
,18,22,22,,0,5
20,22,35,35,25,0,5
17,21,21,23,23,1,6
18,21,,21,22,0,0
19,25,,21,22,0,5
21,21,,21,21,0,4
17,19,22,22,23,0,4
19,19,,22,23,1,4
17,19,19,20,21,1,0
18,18,,22,22,0,4
15,18,15,21,21,1,0
17,28,,24,25,1,4
22,18,,,,1,5
17,16,,19,,1,4
18,24,,24,23,1,6
18,17,21,21,22,1,5
20,20,,,,1,6
,,,,,0,0
,19,,19,21,1,0
25,20,,25,25,0,4
16,18,,20,20,0,4
17,24,24,24,26,1,3
11,21,,22,24,0,2
18,19,,24,27,1,4
18,16,25,26,28,0,5
23,26,,26,28,1,2
16,16,19,19,20,1,2
18,,,,,1,3
19,16,20,20,21,1,2
17,17,,20,22,1,6
15,17,,23,24,1,1
17,21,21,27,27,0,5
,,,,,0,0
17,,23,23,24,0,5
,23,,23,24,1,6
,19,19,18,18,1,5
19,20,20,20,20,1,5
,19,,25,26,0,5
22,20,20,,,0,0
24,25,25,,,1,0
21,23,,23,24,1,3
18,,,,,1,0
,,,,,1,0
,22,,22,23,1,4
19,,,,,0,6
20,20,23,22,24,1,4
,17,,21,25,1,4
21,19,,,,0,0
24,24,,24,26,1,4
18,18,18,18,21,1,2
13,21,,25,36,0,1
16,20,,22,30,1,2
,19,,22,23,0,3
19,22,25,,,1,0
16,20,,20,21,1,3
19,,,,,1,0
13,,,24,25,0,1
16,16,,25,26,0,3
15,27,,27,33,0,3
19,20,,19,19,0,4
21,21,,22,23,1,3
18,19,,19,20,1,6
20,25,,27,27,1,3
17,18,18,20,23,1,5
19,23,,23,26,1,6
21,15,22,21,22,0,0
,16,,16,17,1,6
23,17,,,34,1,5
,17,21,21,22,1,4
,,,21,23,0,4
,25,,25,26,0,2
,17,,,20,0,3
,18,,19,20,0,5
17,19,,,,1,2
,17,,26,27,1,3
20,20,,,,1,2
16,17,,24,24,0,5
17,15,,19,19,1,4
,19,,19,20,1,1
,18,,23,24,1,3
,25,,,25,0,4
22,24,,26,27,1,1
18,,,,38,1,3
20,30,,29,31,0,4
16,19,23,23,21,1,5
21,,,,,1,0
,30,,25,27,0,3
16,16,,20,21,1,5
26,26,24,24,21,1,3
28,26,,26,27,1,6
,,,,,0,0
20,18,19,,18,1,0
22,23,,23,23,1,6
16,25,,22,23,1,3
23,25,,25,26,0,3
14,20,31,28,30,0,1
23,16,,23,24,0,4
17,17,24,24,28,0,2
17,17,,18,19,1,1
14,,,19,20,1,2
15,23,26,23,22,1,2
20,23,23,22,23,1,1
19,23,23,23,24,0,4
21,23,29,23,27,1,2
23,27,,25,27,1,2
16,21,,22,26,0,5
16,16,,21,22,1,2
23,27,,27,27,0,3
17,19,,22,23,1,3
16,18,,20,22,1,2
20,23,,23,24,1,3
23,18,,,,0,6
,,,20,21,1,3
,18,,21,22,1,4
,17,,23,24,1,3
,19,,26,28,1,3
,18,,18,19,1,6
,31,,,,0,5
,18,,19,27,1,5
,18,,22,23,1,0
,19,,21,,0,0
,18,24,24,24,0,6
,,,,23,0,3
,19,,,21,1,6
,,,20,23,1,3
43,,,,21,1,5
,,,39,,0,5
,23,,23,28,1,5
,,,19,20,1,2
17,12,,19,20,1,6
22,22,,22,23,0,6
20,18,,22,22,1,4
19,16,,21,21,0,5
20,17,24,24,25,0,6
16,,,,,0,0
,27,,18,18,1,6
,22,,22,23,1,4
35,,,,,1,3
,22,,22,23,0,5
18,,,18,19,1,6
,21,,18,19,1,6
23,17,,23,25,1,5
,15,,22,23,0,1
,,,21,22,1,3
,20,,,23,1,1
13,20,,20,23,0,2
14,16,,24,28,1,3
18,,,21,21,0,6
16,22,,21,22,1,6
18,,,22,23,1,6
18,18,21,21,22,1,4
22,18,,22,23,0,3
15,17,,18,21,1,2
21,18,26,26,27,0,5
15,16,,23,25,1,3
20,16,,19,21,1,3
22,17,24,25,25,1,5
,17,19,,,1,0
,,,20,22,1,2
17,18,44,27,28,1,4
12,,,27,,0,2
39,19,19,19,20,1,4
22,23,,23,,0,5
31,17,,28,30,0,6
22,17,17,,23,1,0
16,,,18,20,1,2
15,22,,22,,1,1
22,18,,24,25,1,5
18,15,,19,20,1,5
22,20,,24,24,1,4
17,17,,,21,1,5
17,20,,20,22,1,2
18,18,,19,20,1,5
20,18,,21,34,0,3
27,32,,,33,1,3
15,,,36,37,0,5
23,23,18,,,1,2
,,,,25,1,5
,21,21,21,22,1,6
22,,26,,,0,6
23,23,,,21,1,6
18,,23,24,25,1,4
22,15,22,23,23,0,6
21,32,,26,27,0,2
,,21,21,22,1,6
17,17,,24,24,1,2
16,,,,,0,0
,28,28,33,29,1,1
20,25,20,20,20,1,3
14,18,18,19,19,1,0
18,19,,19,24,1,4
17,,,26,38,1,5
18,19,24,24,29,0,3
22,19,19,19,22,1,6
21,,,,,1,0
18,18,,23,24,1,1
14,17,,17,19,1,6
21,27,,27,30,0,5
20,21,,21,23,0,6
21,28,,28,25,1,2
17,18,18,23,,1,0
18,,19,,23,1,6
20,14,,19,,1,3
19,21,,,27,0,6
21,18,,22,24,0,5
16,17,,22,22,0,0
14,14,29,22,,0,3
13,19,,19,20,1,1
18,14,,21,28,1,2
19,25,,23,24,1,2
16,,,,,0,0
,17,,25,27,1,5
19,17,,22,23,1,4
22,19,23,26,,0,6
17,17,,20,20,1,4
18,21,21,,,1,0
20,,,21,22,1,1
18,19,19,19,20,1,4
18,20,20,19,21,1,6
19,21,,21,18,1,5
,30,,20,20,1,4
,,,,,0,0
18,42,42,19,20,1,5
,,,21,23,1,4
21,,,18,19,1,5
27,20,,20,21,1,2
18,,,28,24,0,5
18,28,,19,35,1,2
19,21,,21,23,1,6
20,18,,18,19,1,6
20,,,,,1,0
,,,,,0,5
,,,21,,0,4
18,16,,22,22,0,4
18,22,,22,23,1,3
17,21,,26,27,0,5
16,22,22,22,22,0,4
16,22,,23,23,1,4
24,17,,24,24,1,2
20,20,,20,28,0,4
20,28,,33,38,1,2
19,20,21,21,22,1,4
24,17,,24,25,1,3
17,17,,23,24,0,3
,,,,,0,0
15,27,18,18,19,1,3
20,22,,20,24,1,5
18,19,,19,19,1,4
17,19,,21,22,0,4
18,36,17,18,17,1,3
17,18,,18,20,0,4
22,20,,20,21,1,2
16,17,,,,0,6
17,23,,23,24,1,6
18,19,,19,20,1,4
22,24,,25,26,1,5
21,21,,24,16,1,6
19,20,,24,27,1,3
16,19,,19,19,1,4
,20,,21,23,1,6
,,,20,21,0,3
22,22,,,,1,0
,,,20,21,0,3
,,,,,1,0
,23,,23,,1,4
,,,,,1,0
,,,,,0,5
,,,18,28,0,3
,18,,,,1,0
,,,,,1,0
18,18,,22,23,1,5
,20,,20,20,1,5
46,24,,24,25,1,4
23,23,,20,24,0,5
18,15,,20,25,1,4
14,16,,17,18,1,5
,59,,22,32,0,2
,,,,,0,0
15,20,,25,27,1,6
18,22,,22,23,0,1
17,21,,24,25,0,4
46,19,,19,21,1,5
24,24,,18,18,1,2
16,16,,35,36,1,1
18,20,,20,21,1,6
19,17,,19,20,1,4
21,21,,21,21,1,5
16,21,,19,18,1,2
15,15,18,18,19,1,4
14,21,,21,22,1,5
20,15,,20,22,1,5
18,17,19,19,21,1,4
15,27,,26,18,1,3
,31,,25,26,0,3
18,19,,23,22,1,5
24,22,,22,24,0,5
,,45,24,25,1,2
12,21,,28,32,0,2
,,,,,1,0
19,16,,20,23,0,5
16,18,21,21,,0,4
15,21,21,23,23,1,3
19,23,23,23,23,1,6
17,15,,20,21,1,4
19,,16,,17,1,0
16,21,,22,33,0,4
18,18,,19,23,1,4
18,29,,29,30,0,4
,,,,,1,0
23,23,23,23,43,0,4
20,16,17,18,20,1,6
19,19,16,21,25,0,6
19,17,17,17,27,1,6
20,,,,,0,0
20,19,21,21,27,0,6
,,,,,1,0
20,21,,21,23,0,6
17,17,,18,20,1,4
19,21,19,20,24,1,0
17,21,,21,30,0,4
25,16,27,24,25,1,4
17,17,,22,24,0,4
17,17,,42,42,0,3
,17,,,,0,0
,,,,,0,0
16,21,,,,1,0
,17,,,,1,0
,18,21,,,0,0
,18,,,,1,0
22,19,,20,21,1,0
18,18,,,,0,0
15,21,21,22,,1,0
33,27,30,20,20,0,5
27,22,29,,,0,6
21,21,,21,22,1,2
19,16,,24,24,1,3
17,18,,,,0,0
17,19,22,22,22,0,4
18,22,,18,18,1,4
19,24,,21,21,1,5
15,18,,22,23,0,1
,19,,,,1,0
19,21,,20,20,1,2
21,18,,27,29,0,5
24,,18,18,19,1,6
19,17,,22,23,0,2
20,,,22,24,0,6
16,25,,25,,1,1
22,,,23,27,1,2
17,17,,24,25,1,3
21,21,24,25,26,0,4
19,21,,21,23,0,6
21,19,,,,0,6
17,23,23,23,24,1,5
17,,20,21,21,1,2
22,22,23,24,24,0,3
19,16,19,19,20,1,5
18,,,,21,1,0
17,,,,,1,1
22,23,23,23,24,1,5
21,23,23,23,28,0,4
20,20,,20,21,0,6
22,17,20,20,23,1,6
17,15,19,20,24,1,2
22,17,,23,25,1,4
21,22,,,,0,0
17,23,24,24,24,1,5
12,14,,25,26,0,2
19,17,29,29,31,1,4
19,23,,23,25,1,3
17,18,22,22,23,0,5
22,24,20,20,20,1,6
,,43,43,,0,5
,,,,,1,0
18,18,22,22,23,0,5
,,,,,1,0
20,21,21,21,22,1,4
19,19,,23,24,0,5
,,,,,0,0
18,26,,26,28,1,2
12,27,30,26,28,1,2
20,,,,,0,6
14,21,,21,22,1,2
12,23,,23,27,1,1
15,15,,18,19,0,4
22,17,22,,24,1,4
18,19,,23,24,1,4
32,22,,22,22,1,6
20,20,,18,19,1,3
18,20,,20,21,1,3
17,20,,24,25,0,3
16,16,,21,22,0,4
18,18,,20,21,0,6
20,19,24,27,24,1,5
17,17,17,18,18,1,4
17,23,23,23,28,1,4
20,20,22,22,22,1,6
19,15,19,19,19,1,2
17,17,18,18,19,1,4
21,21,,21,22,0,5
18,21,21,22,22,0,6
22,22,,24,25,1,1
17,31,,22,24,0,2
19,23,21,21,20,1,4
17,17,,22,23,0,4
21,22,,22,23,0,5
22,18,,18,19,0,3
16,16,16,17,16,1,4
17,25,,24,25,0,3
20,,,,,1,0
14,18,,19,20,1,3
20,23,35,,30,1,2
16,16,18,,21,1,4
16,19,,19,20,1,5
18,22,22,23,23,1,6
17,20,25,,27,0,5
18,17,39,39,26,1,3
17,19,,23,24,0,2
20,21,22,23,24,1,4
20,20,,18,20,1,3
18,21,,,,0,3
17,23,,24,34,0,4
26,,,,,0,6
16,,,,31,1,4
26,25,,22,23,1,4
28,,,26,27,1,3
26,19,,23,24,1,4
24,19,,24,26,1,2
18,,,23,25,1,4
18,20,,20,21,1,1
21,24,,24,25,0,3
17,23,,23,26,0,2
,17,,,,1,0
,22,,22,23,1,5
23,25,,25,26,0,4
,41,,22,24,1,2
,,,,,1,0
21,21,21,22,24,1,0
14,36,,,,1,1
20,17,,,,1,0
26,18,25,25,26,0,3
22,14,,22,23,1,5
17,23,,,,1,5
24,24,,32,33,0,2
18,21,,21,22,1,4
15,15,,20,23,0,4
18,18,28,25,27,0,5
21,17,31,,28,1,5
17,19,,25,26,0,4
20,16,,,,1,0
20,21,,,,0,0
,,,,,1,5
23,18,,25,26,0,5
24,23,,25,26,0,6
17,20,,23,24,0,2
23,23,,26,27,0,4
24,21,,,,1,6
25,20,,30,31,1,3
19,19,,19,22,0,3
21,20,,23,24,1,1
17,,27,27,29,1,4
18,18,,20,21,1,5
19,,,,,0,0
,,,24,25,1,2
22,26,26,,27,0,6
,22,22,26,27,0,4
20,20,,20,20,1,5
17,33,,20,21,1,2
,18,,18,20,1,0
24,18,,24,25,0,4
17,21,,22,23,1,1
17,19,,22,23,0,4
17,17,,21,22,1,4
22,22,,23,23,0,6
25,25,25,34,35,0,5
21,21,,23,24,0,3
,,,,,1,0
19,17,,23,24,1,3
21,23,,23,23,1,1
30,29,,29,,1,5
18,14,,20,26,1,3
21,17,,22,23,1,4
,,,,,0,0
20,17,,,,0,5
20,16,,18,19,1,3
16,31,,,,0,6
,,,22,17,0,3
23,28,36,37,39,1,2
,,,,23,1,2
,,,20,21,1,2
18,18,,,19,1,0
19,16,,,,0,0
17,19,,23,23,0,3
21,25,,25,30,0,5
,,,22,25,1,4
20,16,,19,20,1,4
15,15,15,,,0,0
,,22,22,22,0,6
21,,,,,0,0
21,19,,19,24,0,4
,,,,,0,6
22,24,24,25,25,1,5
19,17,,21,,0,0
,26,26,27,29,1,6
23,19,,19,19,1,6
18,25,,25,27,0,4
17,22,,22,23,1,3
,,,23,26,1,1
17,18,,20,19,1,1
15,26,,26,28,0,1
23,17,23,24,24,0,5
15,21,,21,23,0,4
20,19,19,21,20,1,0
21,21,,21,22,1,5
20,16,,22,23,1,3
16,19,25,,,0,5
15,18,18,19,19,0,4
18,18,,18,19,1,5
14,48,48,24,18,1,4
17,23,,25,26,1,4
19,18,,20,25,1,4
21,17,31,32,22,0,5
19,19,,22,23,1,4
20,19,,19,20,1,4
,,,,,0,0
22,16,,28,32,1,4
,,,,,0,0
17,17,,20,21,1,4
36,25,23,23,23,0,4
17,17,,21,22,1,4
17,20,,20,31,0,6
17,23,,24,25,0,4
18,,,21,22,0,4
23,18,,20,21,1,5
19,19,,21,22,1,3
16,13,,21,22,1,3
16,23,23,24,24,0,6
15,17,,17,18,1,5
16,18,,23,25,0,2
20,24,,22,24,1,3
15,15,,22,30,1,2
18,24,23,25,25,0,0
22,22,,22,22,1,2
21,16,29,,,1,6
22,,,24,24,0,6
18,18,,18,21,1,3
21,28,34,23,34,0,5
16,21,,21,30,0,4
16,17,,30,37,1,1
19,22,23,,41,1,3
16,18,,23,25,0,1
18,21,,18,24,1,5
22,14,,22,23,1,2
16,27,,20,,0,3
22,20,22,22,17,0,4
19,15,,28,29,1,4
22,23,,23,24,1,0
16,,,,,0,0
17,55,,24,25,1,1
17,21,,24,24,1,4
22,,,,,0,0
18,20,,24,24,0,4
19,24,,24,25,1,3
17,18,,21,27,0,6
18,19,,21,22,0,5
18,22,25,,,1,6
19,20,,24,26,1,2
19,24,,24,26,0,5
,,,,,0,0
18,26,26,26,27,1,4
26,21,,21,22,1,6
21,16,,20,,1,0
18,19,,24,25,0,4
15,15,,22,23,0,3
21,18,25,25,27,0,3
20,21,,21,22,1,4
17,18,,24,25,0,6
16,17,,22,22,0,6
23,25,,21,,1,6
23,18,,26,28,1,2
19,,19,19,20,1,5
14,24,20,28,21,0,1
17,,,,,0,0
19,,,,,1,6
15,18,18,19,19,0,0
20,17,,,,1,6
23,20,20,21,21,1,0
21,17,19,,,0,0
,,,18,22,1,1
,,,23,31,1,2
,,,,23,1,0
20,,,,22,1,6
,20,,22,23,1,4
16,17,,21,22,1,1
,,,,27,1,4
,,,,,1,0
,,,,,0,5
21,,,,,1,0
,,,,,0,5
,,,16,17,1,4
18,17,19,27,,0,6
19,,,,26,0,2
,21,21,21,,1,4
,,,,,0,0
20,22,,28,29,0,5
17,18,23,24,26,0,4
17,17,,,,1,4
22,17,22,,,0,6
19,16,,19,20,0,3
17,18,24,24,26,0,4
16,18,,30,30,0,3
17,25,25,25,25,0,5
19,,,,,0,0
18,18,,22,23,0,4
,,,,,0,0
,,,,,1,0
,,,,,1,0
18,17,,20,21,1,4
24,18,18,29,21,1,6
18,,,24,25,1,4
20,17,,21,22,0,4
18,26,,24,26,1,5
17,27,,42,,0,3
17,26,,22,23,0,5
17,,,18,19,1,2
18,,,24,25,0,0
18,20,,20,30,1,5
18,20,,35,,0,2
18,18,,18,19,1,3
20,18,,23,23,1,4
18,,22,,,0,6
19,23,,24,24,0,3
18,20,,20,24,0,4
24,21,,23,24,0,4
,,,,,0,0
21,22,,22,23,1,2
18,20,,22,23,1,3
28,28,28,28,29,1,2
20,17,,,,1,5
18,19,41,19,20,1,5
21,25,,23,25,1,5
22,17,,25,25,0,5
18,18,,18,19,1,5
27,30,,30,22,1,2
22,,,,,0,0
20,23,,22,25,0,5
17,16,,19,20,1,3
16,22,21,21,23,0,3
23,18,,22,25,1,4
21,22,,22,22,0,0
19,19,,,,0,0
15,,,,,1,0
,19,,,,1,0
,17,22,22,23,1,4
,,,,,0,6
,15,,,,1,0
19,16,21,21,24,0,0
20,,,,,0,0
,26,28,,29,0,5
,18,,,,1,0
,,,,24,1,6
20,18,,,,0,0
,,18,23,24,1,0
,18,,,,0,0
21,20,,20,22,0,0
20,17,,24,,0,0
18,15,,,,1,0
21,,,23,24,1,3
,,,21,22,1,1
,20,,22,24,1,2
22,34,,23,24,0,2
15,,,,,0,0
,,,27,28,0,4
21,30,,28,28,0,6
,17,,,,0,0
,24,,24,25,1,2
,,,22,23,1,2
,,,23,24,1,1
19,19,,20,,1,2
,,,,,1,1
20,20,17,21,22,1,3
22,25,,25,27,1,4
21,19,19,19,19,1,0
,,,20,29,1,4
22,,25,25,26,0,3
23,,26,26,27,1,2
22,,26,26,27,0,4
19,22,,22,23,0,3
20,23,,23,26,1,3
19,,17,18,18,1,3
20,,,23,,1,2
18,,,,,0,0
15,20,23,23,23,0,2
20,21,,26,28,0,2
21,,,,,0,0
,16,16,,17,1,0
18,27,,27,28,0,5
19,19,,19,29,1,4
20,17,,,,1,0
19,35,,23,23,1,4
19,,,34,36,1,5
20,20,,20,21,1,6
18,21,,21,22,1,3
18,29,,29,29,1,6
23,18,,21,23,1,3
16,21,,21,22,1,2
16,22,,22,22,0,4
19,19,,19,22,1,5
19,16,,18,19,1,5
16,18,23,26,28,0,4
16,17,39,39,,0,5
16,18,,18,19,1,2
13,36,,36,37,1,1
18,27,,25,28,1,6
27,,22,22,26,1,5
17,17,,24,25,1,3
14,19,,23,24,0,2
21,19,23,26,28,0,6
16,19,,22,24,0,4
18,22,22,33,23,1,5
16,17,,23,24,1,1
18,,,21,25,1,6
16,16,,,20,1,0
20,21,,21,22,0,3
19,21,,21,24,1,2
17,,,21,23,0,1
,,,,,0,0
20,22,,22,23,1,4
,22,,22,23,1,6
20,,,,,1,0
21,18,,22,24,1,3
21,18,,21,24,0,4
18,,,18,19,0,2
19,,,21,22,0,5
24,24,,20,21,1,6
25,,,,,1,6
20,22,,22,23,1,5
20,20,,20,,1,0
16,,,19,21,0,2
18,,,,,0,6
20,20,,24,26,1,3
19,15,,24,,1,5
19,,23,26,26,1,6
24,,,22,23,1,6
15,20,32,,22,1,4
,,,,,0,0
20,20,,20,22,1,5
22,23,,23,24,1,4
16,16,,25,25,0,3
20,20,20,,,0,6
18,24,,,,1,1
,18,20,30,24,1,6
19,23,20,,22,1,6
18,17,,19,27,1,5
16,18,,,23,0,4
,,,,21,1,6
,,,,,1,0
,,,23,25,0,6
17,20,,,,1,0